event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,93,93,43727,49260,43727,0,1000,0,0,6
2,81,174,716326,733229,17109,0,1001,0,0,6
3,33,203,5707999,5714898,136064,44,1006,3,4,3
4,60,263,1778437,1801559,177043,17,1007,1,0,2
5,69,328,2250468,2272233,230562,35,1006,2,4,4
6,47,375,3839760,3874832,307356,45,1011,1,0,8
7,61,432,2022491,2041202,296318,1,1012,2,4,1
8,63,487,2248438,2256383,429630,19,1017,3,8,0
9,65,552,2020181,2048711,373092,1,1013,0,0,11
10,64,616,382407,393910,210385,1,1021,0,0,8
11,67,683,3015687,3042515,245616,5,1029,2,0,8
12,56,735,3013915,3038845,336099,27,1032,2,4,5
13,43,778,3841487,3890940,377430,16,1032,1,0,7
14,89,867,297358,310322,213802,16,1034,0,0,10
15,43,906,3624502,3633018,299929,32,1034,3,4,3
16,36,942,4211762,4291006,396118,32,1036,0,0,0
17,61,1003,3154423,3172735,431555,33,1032,2,0,8
18,40,1043,2028854,2071474,453398,33,1031,0,0,2
19,101,1144,869920,877022,361503,41,1029,1,0,0
20,53,1197,1605564,1625294,315297,22,1029,1,0,2
21,68,1265,978332,999762,243838,22,1030,0,0,2
22,71,1332,2290935,2294832,295830,32,1030,3,4,21
23,57,1389,4647788,4674962,371462,27,1038,1,0,15
