element_in,element_in_cost,element_out,element_out_cost,entry,event,time
6,84,388,112,4704867,22,2021-01-30T21:57:08.407726Z
435,55,146,39,4704867,22,2021-01-30T21:57:08.399402Z
146,39,461,51,4704867,20,2021-01-26T14:37:46.652969Z
388,112,377,59,4704867,20,2021-01-26T14:37:46.652628Z
181,53,492,57,4704867,20,2021-01-26T14:37:46.652302Z
231,72,445,63,4704867,20,2021-01-26T14:37:46.651932Z
306,96,272,117,4704867,20,2021-01-26T14:37:46.651605Z
273,51,542,57,4704867,20,2021-01-26T14:37:46.651169Z
492,57,164,75,4704867,20,2021-01-21T16:36:01.360319Z
181,53,514,60,4704867,19,2021-01-15T20:46:54.683091Z
50,43,377,59,4704867,19,2021-01-15T20:46:54.682783Z
284,63,445,63,4704867,19,2021-01-15T20:46:54.682407Z
254,125,37,77,4704867,19,2021-01-15T20:46:54.682030Z
146,39,542,57,4704867,19,2021-01-15T20:46:54.681698Z
196,38,461,51,4704867,19,2021-01-15T20:46:54.681233Z
273,50,239,49,4704867,19,2021-01-15T20:46:54.680877Z
255,74,200,46,4704867,19,2021-01-15T20:46:54.680477Z
558,47,16,44,4704867,19,2021-01-15T20:46:54.679862Z
523,40,548,50,4704867,19,2021-01-15T20:46:54.679074Z
224,101,164,76,4704867,19,2021-01-15T20:41:32.203056Z
449,53,390,94,4704867,19,2021-01-15T20:41:32.201880Z
461,51,77,46,4704867,18,2021-01-02T12:52:17.562468Z
16,44,494,50,4704867,17,2021-01-01T15:09:22.845890Z
239,49,369,48,4704867,16,2020-12-26T21:20:15.383566Z
12,49,8,49,4704867,15,2020-12-25T23:03:57.412306Z
445,64,228,64,4704867,14,2020-12-18T07:10:39.308603Z
542,57,457,58,4704867,13,2020-12-13T14:11:37.007009Z
37,77,508,76,4704867,12,2020-12-05T20:30:56.170463Z
228,64,469,54,4704867,11,2020-11-28T15:09:48.487691Z
272,116,251,120,4704867,11,2020-11-28T15:09:48.475529Z
377,59,506,65,4704867,10,2020-11-23T21:56:28.421287Z
369,46,239,47,4704867,8,2020-11-03T12:57:32.463473Z
548,50,12,47,4704867,8,2020-11-01T21:01:46.724920Z
514,60,437,63,4704867,6,2020-10-22T19:33:16.256308Z
251,119,272,116,4704867,5,2020-10-16T19:22:58.752153Z
12,47,548,50,4704867,5,2020-10-16T19:21:31.985646Z
548,50,252,60,4704867,5,2020-10-04T16:16:03.543483Z
437,63,184,60,4704867,5,2020-10-04T16:16:03.537708Z
390,90,141,72,4704867,5,2020-10-04T16:16:03.532231Z
457,59,259,75,4704867,5,2020-10-04T16:16:03.526222Z
8,50,70,45,4704867,5,2020-10-04T16:16:03.512804Z
200,45,471,44,4704867,5,2020-10-04T15:43:14.513918Z
141,72,468,63,4704867,5,2020-10-03T13:33:39.497288Z
70,45,417,45,4704867,5,2020-10-03T13:33:39.492897Z
164,75,117,94,4704867,5,2020-10-03T13:33:39.488607Z
272,117,4,119,4704867,5,2020-10-03T13:33:39.483740Z
494,51,156,50,4704867,5,2020-10-03T13:33:39.479074Z
252,60,157,50,4704867,5,2020-10-03T13:33:39.474825Z
77,46,176,45,4704867,4,2020-09-29T10:12:26.782658Z
469,56,338,54,4704867,3,2020-09-24T10:33:12.464499Z
239,46,109,49,4704867,3,2020-09-24T10:33:12.336775Z
